id,lk_store_id,alt_store_name_catch,store_pickup_available,store_type_labels,address_full,city,state,pin_code
1029,LKST1004,Shadnagar,TRUE,COCO,"18-390-1, 2F, Viduth Colony, Pargi Road, Near Bike Bazar, Shadnagar, Telangana, 509216",Shadnagar,Telangana,509216
1285,LKST1179,Sector 59 Phase 5,TRUE,COCO,"Ground Floor, Scf 15, Sector 59, Phase 5, Near 24Seven, Mohali, Punjab, 160059",Mohali,Punjab,160059
1541,LKST1478,Meyyanur Bypass Road,TRUE,COCO,"280/1, Sudarsan Building, Meyyanur Bypass Road, New Bus Stand Road, Meyyanur, Salem, Tamil Nadu, 636004",Salem,Tamil Nadu,636004
1797,LKST1799,Mannarkkad,TRUE,COCO,"# 2/537, 540, 541, Kozhikode Road, Kodathipadi, Mannarkkad PO, Mannarkkad, Kerala, 678583",Mannarkkad,Kerala,678583
2309,LKST2251,Skardi Plaza,TRUE,COCO,"Shop No 15 & 22, Skardi Plaza, Skardi Green Gold Links, Ghaziabad, Uttar Pradesh, 201002",Ghaziabad,Uttar Pradesh,201002
262,LKST108,Perumbakkam,TRUE,COCO,"G1, Plot No 3, Vgp Prabhu Nagar, Perumbakkam, Opposite Advent Church, Chennai, Tamil Nadu, 600100",Chennai,Tamil Nadu,600100
518,LKST386,Gautam Nagar,TRUE,COCO,"Shop No 121, First Floor, Utkal Kanika Galleria Mall, Gautam Nagar, Opposite Odisha State Museum, Bhubaneswar, Odisha, 751009",Bhubaneswar,Odisha,751009
774,ST372,Erode,FALSE,FOFO,"044/23, Paari Nagar, Paari Nagar, Near Med Plus, Erode, Tamil Nadu, 638011",Erode,Tamil Nadu,638011
1030,LKST1015,Ratankhand,TRUE,COCO,"Cp 2/4, Crystal City Centre, Sharda Nadar Yojana, Ratankhand, Lucknow, Uttar Pradesh, 226012",Lucknow,Uttar Pradesh,226012
1286,ST477,Kamareddy,FALSE,FOFO,"House 5-3-98, Old Nh7 Road, Old Nh7 Road, Opposite Muncipal Office, Kamareddy, Telangana, 503111",Kamareddy,Telangana,503111
2310,LKST2089,Gola Road,TRUE,COCO,"Gola Road, Mouza Danapur, Near V Mart, Shehzadpur Bank Colony Road, Pargana Phulwari, Thana Danapur Sadar Registry, Patna, Bihar, 801503",Patna,Bihar,801503
7,LKST968,Ramnagar,TRUE,COCO,"Shop No 10/4/16/2, Upper Ground Floor, Uplands Road, Asilmetta Junction, Ramnagar, Beside Hotel Meghalaya, Visakhapatnam, Andhra Pradesh, 530003",Visakhapatnam,Andhra Pradesh,530003
519,LKST423,Jawahar Nagar,TRUE,COCO,"Shop No 2, UA/29 Bungalow Road, Opposite Hansraj Girls Hostel, Jawahar Nagar, Delhi, 110007",Delhi,Delhi,110007
1031,LKST996,NIT,TRUE,COCO,"1H/60 Ground & First Floor, Bn Nit, Faridabad, Haryana, 121001",Faridabad,Haryana,121001
1287,LKST1098,Khopoli,TRUE,COCO,"Shop No 7 & 8 Ashiyana Infinity, Mulgoan, Shri Ram Nagar, Mumbai Pune Highway, Khopoli, Maharashtra, 410203",Khopoli,Maharashtra,410203
1543,LKST1631,Nilanchal Colony,TRUE,COCO,"Khata No 5, Plot No 769, Nilanchal Colony, Chanakya Nagar, Saraidhela, Dhanbad, Jharkhand, 828127",Dhanbad,Jharkhand,828127
1799,LKST1767,Shahad,TRUE,COCO,"Ground Floor, Shop No 17 A, Regency Antilia, Next to Jockey Store, Murbad Road, Mharal Society, Shahad, Ulhasnagar, Thane, Maharashtra, 421103",Thane,Maharashtra,421103
2311,LKST2318,Panchkula,TRUE,COCO,"Ground Floor, SCO 57, Swastik Vihar, Near Apollo Pharmacy, MDC 5, Sector 5, Panchkula, Haryana, 134114",Panchkula,Haryana,134114
8,ST19,Sevoke Road,FALSE,FOFO,"Shop No 9, City Plaza, Haidar Para, Sevoke Road, Opposite Payal Cinema Hall, Siliguri, West Bengal, 734001",Siliguri,West Bengal,734001
264,LKST110,Paschim Vihar,TRUE,COCO,"Shop No A3/182, Ground Floor, Paschim Vihar, New Delhi, 110063",New Delhi,Delhi,110063
520,LKST420,DSL Virtue Mall,TRUE,COCO,"FF 02 & 03, First Floor, DSL Virtue Mall, Ramanthapur Main Road, Ida Uppal, Near Uppal Metro Station, Hyderabad, Telangana, 500039",Hyderabad,Telangana,500039
1032,ST436,Kakinada,FALSE,FOFO,"20-1-34, Subash Road, Opposite Super Bazar, Kakinada, Andhra Pradesh, 533001",Kakinada,Andhra Pradesh,533001
1288,LKST1161,Beeramguda,TRUE,COCO,"Plot No 8/B, H No 14-81/13/8/B/A/1, Raghavendra Colony, Beeramguda, Ramachandrapuram, Hyderabad, Telangana, 502032",Hyderabad,Telangana,502032
1544,LKST1509,C21 Mall,TRUE,COCO,"Sf03, Second Floor, C 21 Mall, Plot No 94-104 & 300-303, Scheme No 54, Pu 4 Commercial, Ab Road, Indore, Madhya Pradesh, 452010",Indore,Madhya Pradesh,452010
2312,LKST2262,High School Junction Kollam,TRUE,COCO,"Block No 210, High School Junction, Near Skycell, West Taluk, Kollam, Kerala, 691009",Kollam,Kerala,691009
265,LKST111,Model Town,TRUE,COCO,"Shop No 2, H4/6, Ground Floor, Model Town, New Delhi, 110009",New Delhi,Delhi,110009
521,LKST425,Bhoomi Mall Belapur,TRUE,COCO,"Shop No 27, Bhoomi Mall, Sector 15, Palm Beach Road Cbd Belapur, Belapur, Navi Mumbai, Maharashtra, 400614",Navi Mumbai,Maharashtra,400614
777,LKST620,Gomti Nagar,TRUE,COCO,"1/99, Vinay Khand, Patrakaarpuram, Gomti Nagar, Near First Cry, Lucknow, Uttar Pradesh, 226010",Lucknow,Uttar Pradesh,226010
1033,LKST1059,Dugri,TRUE,COCO,"Scf No 12, Urban Estate, Dugri Road, Phase I, Dugri, Ludhiana, Punjab, 141002",Ludhiana,Punjab,141002
1289,ST484,Bahraich,FALSE,FOFO,"79, Digiha, Gonda Road, Near Agrasen Chowk, Bahraich, Uttar Pradesh, 271801",Bahraich,Uttar Pradesh,271801
1545,LKST1497,Lulu Mall,TRUE,COCO,"Tc 91,270, Lulu International Shopping Mall, Akkulam Bridge, Anayara Post, Akkulam Bridge, Opposite Kerala Hotel, Thiruvananthapuram, Kerala, 695029",Thiruvananthapuram,Kerala,695029
1801,LKST1759,"Big Bazaar Chowk, Sai Road, Baddi",TRUE,COCO,"Big Bazaar Chowk, Sai Road, Near Laj Dharam Kanta, Baddi, Himachal Pradesh, 173205",Baddi,Himachal Pradesh,173205
2313,LKST2284,College Square,TRUE,COCO,"970, College Square, Near Kitab Mahal, Cuttack, Odisha, 753003",Cuttack,Odisha,753003
10,ST23,"Bomikhal, Cuttack Puri Road",FALSE,FOFO,"Plot No 661, Bomikhal, Cuttack Puri Road, Near Gupta Sweets, Bhubaneswar, Odisha, 751006",Bhubaneswar,Odisha,751006
266,LKST112,Old Rajendar Nagar,TRUE,COCO,"Shop No 6/80, Ground Floor, Shankar Road, Old Rajendar Nagar, New Delhi, 110060",New Delhi,Delhi,110060
1034,ST435,Raigarh,FALSE,FOFO,"D Cot Plaza, Carmel School Road, Jagatpur, Beside Bank Of Baroda, Raigarh, Chhattisgarh, 496001",Raigarh,Chhattisgarh,496001
1290,LKST1222,100ft Bypass Road Velachery,TRUE,COCO,"No 1 & 2 Main Road, Venkateswara Nagar, 100Ft Bypass Road, Velachery, Chennai, Tamil Nadu, 600042",Chennai,Tamil Nadu,600042
2314,LKST2222,Sanquelim,TRUE,COCO,"Shop No 9 & 10, Krishna Kunj, opposite Radhakrishna Temple, Gokulwadi, Desai Nagar, Sanquelim, Goa, 403505",Goa,Goa,403505
523,ST374,Mandya,FALSE,FOFO,"Ground Floor, Madhu Vachar Complex, Ashok Nagar, Opposite Mandya Railway Station, Mandya, Karnataka, 571401",Mandya,Karnataka,571401
779,ST346,Eluru,FALSE,FOFO,"24B-1-46/1, Vijaya Vihar Centre, Vijaya Vihar Centre, Opposite Gv Mall, Eluru, Andhra Pradesh, 534002",Eluru,Andhra Pradesh,534002
1035,LKST908,Ashok Rajpath,TRUE,COCO,"Ground Floor, Ashok Rajpath, Near Pmch Gate Number 2, Ashok Rajpath, Opposite Bihar Youth Men'S Institute, Patna, Bihar, 800004",Patna,Bihar,800004
1291,LKST1202,Sriperumbudur,TRUE,COCO,"#154, Gandhi Road, Nenmeli, Opposite Iob, Sriperumbudur, Tamil Nadu, 602105",Sriperumbudur,Tamil Nadu,602105
1547,ST566,Jalanagar,TRUE,COCO,"Sno 890, 891, Plot No 294, Jalanagar, Near S R Colony Vijaypur, Bijapur, Karnataka, 586109",Bijapur,Karnataka,586109
1803,LKST1437,"Flagship Store At Vanasthalipuram Main Road, Hyderabad",TRUE,COCO,"H No 5-5858/1(New), 5-5-511(Old), Plot No 27 &30, Ward No 05, Chintalknta Of Sahebnagar, Kjurd Village, Hyathnagar Mandal, Ranga Reddy District,Vanasthalipuram, Hyderabad,Telangana, 500074",Hyderabad,Telangana,500074
2315,LKST2057,Mau,TRUE,COCO,"House No 266, B4 Ground Floor, Sahadatpura Pargana, Tehsil Sadar, Mau, Uttar Pradesh, 275101",Mau,Uttar Pradesh,275101
12,ST28,Banashankari,FALSE,FOFO,"Mamatha Complex, 80 Feet Road, Nagendra Block, Banashankari 1St Stage, Bengaluru, Karnataka, 560085",Bengaluru,Karnataka,560085
268,LKST114,Sector 15,TRUE,COCO,"Shop No 71, Ground Floor, Sector 15, Part 2, Gurugram, Haryana, 122001",Gurugram,Haryana,122001
524,LKST430,Poonam Cluster,TRUE,COCO,"Shop No 37, 38 & 39, Ground Floor, Poonam Estate Cluster 2, Building No 3, Mira Road, Near Shanti Chowk, Thane, Maharashtra, 401107",Thane,Maharashtra,401107
1036,LKST993,Geeta Colony,TRUE,COCO,"Shop No 11/13, Ground Floor, Geeta Colony, Delhi, 110031",Delhi,Delhi,110031
1292,ST492,"Vikas Nagar, Dehradun",FALSE,FOFO,"Laxmanpur Chowk, Vikas Nagar, Near Uttarakhand Gramin Bank, Dehradun, Uttarakhand, 248198",Dehradun,Uttarakhand,248198
1548,LKST1643,Mall Road,TRUE,COCO,"Shop No 7, Ground Floor, Bank House, Mall Road, Near Hdfc Bank, Nainital, Uttarakhand, 263001",Nainital,Uttarakhand,263001
2316,LKST2031,Jatni,TRUE,COCO,"Ground Floor, Kanchan Arcade, Jatni Block Office Road, Ramchandrapur Bazar, Khordha, Jatni, Odisha, 752050",Jatni,Odisha,752050
13,ST30,Brough Road,FALSE,FOFO,"No 272/A, Brough Road, Opposite CSI School Ground, Erode, Tamil Nadu, 638001",Erode,Tamil Nadu,638001
781,LKST694,Teghoria,TRUE,COCO,"R/Aa43 Vip Rd, Sahabagan, Raghunathpur, Teghoria, Baguiati, Next To M Bazar, Kolkata, West Bengal, 700059",Kolkata,West Bengal,700059
1037,LKST930,Maninagar,TRUE,COCO,"Shop No1, Shreekar Avenue, Bairavnath Road, Maninagar, Maninagar, Ahmedabad, Gujarat, 380008",Ahmedabad,Gujarat,380008
1293,LKST1124,Paota,TRUE,COCO,"102/A, Main Mandore Road, Paota, Opposite Idfc First Bank, Jodhpur, Rajasthan, 342006",Jodhpur,Rajasthan,342006
1549,LKST1582,Sector 22C,TRUE,COCO,"Shop No 39, Sector 22C, Sector 22C, Near Aroma Hotel, Chandigarh, Punjab, 160022",Chandigarh,Punjab,160022
1805,ST606,Jamui,TRUE,COCO,"Ground Floor, AAS Hotal, kachari Road, Jamui, Bihar, 811307",Jamui,Bihar,811307
2317,LKST1919,Thakur Village Kandivali East,TRUE,COCO,"Shop No 09, Viceroy Savana, 120 Feet Road, Thakur Village Kandivali East, Mumbai, Maharashtra, 400101",Mumbai,Maharashtra,400101
270,LKST116,Gumanpura,TRUE,COCO,"Shop No 139, Ground Floor, Kotri Road, , Gumanpura, Opposite Reliance Jewels, Kota, Rajasthan, 324007",Kota,Rajasthan,324007
526,LKST421,Elpro City Square Mall,TRUE,COCO,"G 17, Ground Floor, Elpro City Square Mall, Chinchwad Gaon, Pune, Maharashtra, 411033",Pune,Maharashtra,411033
782,LKST615,Saligramam,TRUE,COCO,"No 71, 1, Arcot Road, Vadapalani, Vadapalani, Chennai, Tamil Nadu, 600026",Chennai,Tamil Nadu,600026
1038,ST438,Bettiah,FALSE,FOFO,"Banuchapar, N H 28, Supriya Cinema Road, West Champaran, Near St. Joseph School, Bettiah, Bihar, 845438",Bettiah,Bihar,845438
1294,LKST1209,Vasundhra Enclave,TRUE,COCO,"Vardhman Sunrise Plaza, Vasundhara Enclave, New Delhi, 110096",New Delhi,Delhi,110096
1550,LKST1623,Naranpura,TRUE,COCO,"Shop No 5, Spenta 2 Buildings, Naranpura, Near Naranpura Police Station, Ahmedabad, Gujarat, 382170",Ahmedabad,Gujarat,382170
2318,LKST2269,Fazilka,TRUE,COCO,"Ground Floor, Property No/408 Kailash Nagar, Gaushala Road, Fazilka, Punjab, 152123",Fazilka,Punjab,152123
271,LKST117,Begumpet,TRUE,COCO,"Property No 1/11/222/D/3, Sp Road, Begumpet, Opposite Hdfc Bank, Near Shopper Stop, Secunderabad, Telangana, 500016",Secunderabad,Telangana,500016
783,LKST654,Avinashi Road,TRUE,COCO,"Shop No 702, Ground Floor, Esteem Complex, Opposite GKNM Hospital, Avinashi Road, Pn Palayam, Coimbatore, Tamil Nadu, 641018",Coimbatore,Tamil Nadu,641018
1039,LKST906,Kondotty,TRUE,COCO,"Door No 6, Ground Floor, Athikavil Building, Palakkad Highway, Kondotty Malappuram, Kondotty, Opposite Bsnl Office, Malappuram, Kerala, 673638",Malappuram,Kerala,673638
1295,ST469,Badlapur,FALSE,FOFO,"Shop No 15 & 16, Dream Makers By Kasturi Life Space, Station Road, Katrap, Badlapur East, Thane, Maharashtra, 421503",Thane,Maharashtra,421503
1551,LKST1561,Baihata Chariali,TRUE,COCO,"Ground Floor, Dag No 1939, Guwahati Road, Baihata Chariali, Assam, 781381",Baihata Chariali,Assam,781381
1807,LKST1757,Alpha 2,TRUE,COCO,"Shop No 37, 37A, 37 B, Ground Floor, KB Complex, Plot No LS-01, Sector-Alpha-02, Greater Noida, Gautam Buddh Nagar, Uttar Pradesh, 201308",Gautam Buddh Nagar,Uttar Pradesh,201308
2319,LKST2177,Shuklaganj,TRUE,COCO,"16/1636 Rajdhani Marg, Gopinath Puram, Shukla Ganj, Near V-Mart, Kanpur, Uttar Pradesh, 209861",Kanpur,Uttar Pradesh,209861
272,LKST118,Kandivali West,TRUE,COCO,"Shop No 35, Profit Center, Boraspada Road, Kandivali West, Opposite Panchsheel Heights, Mumbai, Maharashtra, 400067",Mumbai,Maharashtra,400067
784,LKST719,Kharghar,TRUE,COCO,"Shop No 7, Ground Floor, The Crown Plaza, Gharkul, Sector-15, Kharghar, Near D Mart, Navi Mumbai, Maharashtra, 410210",Navi Mumbai,Maharashtra,410210
1040,ST432,Cuddalore,FALSE,FOFO,"No 20, Sanan Thottam, S N, Chavadi, Near Kv Tex, Cuddalore, Near Kv Tex, Cuddalore, Tamil Nadu, 607002",Cuddalore,Tamil Nadu,607002
1296,LKST1223,Maradu,TRUE,COCO,"Building No 17/219-2& 17/219-3, Old No, 12/210-2 & 12/210-3 , Ground Floor, Nelko Square, Pandavath Junction, Maradu, Near Ps Mission Hospital, Kochi, Kerala, 682304",Kochi,Kerala,682304
1552,ST581,Baramati,FALSE,FOFO,"Gat No-279/1/ B, Plot No, 4/5, Building Ajinkya Bazar, Bhigwan Road, Near Axis Bank, Baramati, Maharashtra, 413102",Baramati,Maharashtra,413102
2320,LKST1988,Balewadi Banner,TRUE,COCO,"Shop No 1, Park Grandeur, Highstreet, Opposite Balewadi High Street, Near Balewadi, Laxman Nagar, Baner, Pune, Maharashtra, 411045",Pune,Maharashtra,411045
17,ST34,Model Town Extension,FALSE,FOFO,"Shop No 273/A/1, Model Town Extension, Near Ishmeet Singh Cowk, Ludhiana, Punjab, 141002",Ludhiana,Punjab,141002
273,LKST119,Hutatma Chowk,TRUE,COCO,"Shop No 46, Ground Floor, Islam Building, Hutatma Chowk, Fort, Near Flora Fountain, Mumbai, Maharashtra, 400001",Mumbai,Maharashtra,400001
785,LKST671,Santacruz West,TRUE,COCO,"Shop No 1, Dheeraj Heritage, Best Colony, Juhu, Santacruz West, Opposite Kenia Hospital, Mumbai, Maharashtra, 400054",Mumbai,Maharashtra,400054
1041,LKST789,Kurji Road,TRUE,COCO,"Circle 247B, Holding 817A/2, Patliputra Circle, Ward 22B, Kurji Road, Kurji Road, Opposite Rbi Quarter, Patna, Bihar, 800010",Patna,Bihar,800010
1553,LKST1620,Rajendra Nagar,FALSE,COCO,"Ground Floor, Plot No 16 C, Part 4, Slice 6, Scheme No 97, Ab Road, Rajendra Nagar, Opposite Ishwari Westend, Indore, Madhya Pradesh, 452012",Indore,Madhya Pradesh,452012
2321,LKST2313,Ram Maruti Road,TRUE,COCO,"Shop No 11, B Wing Sopan Apartment, Ram Maruti Road, Opposite ICICI Bank, Veer Savarkar Path Old Mumbai Road, Village Panchpakhadi, Thane, Maharashtra, 400602",Thane,Maharashtra,400602
18,ST35,Sigra,FALSE,FOFO,"D 62/48, First Floor, Sonia Road, Sigra, Bharat Sevashram Sangh, Varanasi, Uttar Pradesh, 221010",Varanasi,Uttar Pradesh,221010
274,LKST1200,Mahim,TRUE,COCO,"Shop No 3, 4 & 5, Liliyan House, 145 B, L J Road, Mahim, Mumbai, Maharashtra, 400016",Mumbai,Maharashtra,400016
786,LKST657,Redhills,TRUE,COCO,"183/16 Gnt Road, Redhills, Near Annamalai Cell City, Chennai, Tamil Nadu, 600052",Chennai,Tamil Nadu,600052
1042,LKST961,Chakrata,TRUE,COCO,"69, Old Cannaught Place, Chakrata Road, Old Cannaught Place, Dehradun, Uttarakhand, 248001",Dehradun,Uttarakhand,248001
1298,LKST1228,Shaimar Garden,TRUE,COCO,"Plot No 15, G1, Ground Floor, Block C, Shalimar Garden Extension 2, Sahibabad, Ghaziabad, Uttar Pradesh, 201005",Ghaziabad,Uttar Pradesh,201005
1554,LKST1548,Sama,FALSE,COCO,"Shop No 36 & 37, Ground Floor, Lotus Aura Final, Plot No 168, Village Mouje Sama, Sama, Near Ioc Petrol Pump, Vadodara, Gujarat, 390024",Vadodara,Gujarat,390024
2322,LKST2325,Hiran Magri Sector 11,TRUE,COCO,"Ground Floor, Plot No A, A-1 & B, Paras Prime, Hiran Magri, Sector 11, Udaipur, Rajasthan, 313001",Udaipur,Rajasthan,313001
19,ST36,Kadavanthara,FALSE,FOFO,"Building No 37/442, Ishaan Enterprises, Kadavanthara Road, Kaloor, Ernakulam, Near Akshya Hospital, Kochi, Kerala, 682020",Kochi,Kerala,682020
275,LKST121,Breach Candy,TRUE,COCO,"Shop No 5, Nanik Niwas Building, Bhulabhai Desai Road, Breach Candy, Opposite Tata Garden, Mumbai, Maharashtra, 400026",Mumbai,Maharashtra,400026
787,LKST678,Periyar Nagar,TRUE,COCO,"New No 42, Old No B126, Karthikeyan Salai, Periyar Nagar, Below To Kolors, Perambur, Tamil Nadu, 600082",Perambur,Tamil Nadu,600082
