id,size,width,model_name,prices,totalColorAvailable,sku,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
207481,Medium,139 mm,LA E15417-W,1700,23,lenskart-hustlr-la-e15417-c7-eyeglasses,0,192623,4.6,297,14003
145996,Wide,138 mm,LA E11821,1700,2,lenskart-air-la-e11821-fall-rim-wfe-stais-stel-c1-eyeglasses,25348,128181,4.7,529,6886
208956,Medium,139 mm,LA E15417-W,1700,17,lenskart-air-la-e15417-c20-eyeglasses,0,55331,4.6,297,9288
217022,Medium,137 mm,LS E15666,1700,3,vincent-chase-ls-e15666-c6-eyeglasses,0,3766,0,,52
206266,Medium,137 mm,VC E15347,1700,0,vincent-chase-vc-e15347-c1-eyeglasses,0,6350,5,1,2410
209728,Medium,134 mm,VC E15838,1700,3,vincent-chase-vc-e15838-c1-eyeglasses,0,1009,0,,1567
206824,Medium,139 mm,LA E15417-W,1700,20,lenskart-air-la-e15417-c2-eyeglasses,0,48583,4.6,297,939
211943,Medium,136 mm,LA E16240,1700,3,lenskart-air-la-e16240-c1-eyeglasses,0,1975,0,,344
211448,Medium,136 mm,LA E16169,1700,2,lenskart-air-la-e16169-c1-eyeglasses,0,2303,0,,834
211920,Medium,134 mm,VC E16233,1700,2,vincent-chase-vc-e16233-c1-eyeglasses,0,1525,0,,1138
207671,Medium,139 mm,LA E15417-W,1700,25,lenskart-air-la-e15417-c10-eyeglasses,0,55652,4.6,297,13400
209774,Medium,137 mm,LA E15851,3000,2,lenskart-air-la-e15851-c1-eyeglasses,0,4911,0,,6
211524,Medium,136 mm,VC E16198,1700,2,vincent-chase-vc-e16198-c1-eyeglasses,0,1133,0,,724
206828,Medium,139 mm,LA E15417-W,1700,22,lenskart-air-la-e15417-c6-eyeglasses,0,14560,4.6,297,1858
206641,Medium,135 mm,VC E15380,1700,0,vincent-chase-vc-e15380-c2-eyeglasses,0,5036,0,,33
206269,Medium,137 mm,VC E15348,1700,2,vincent-chase-vc-e15348-c2-eyeglasses,0,6873,0,,1408
206036,Medium,134 mm,LA E15303,1700,4,lenskart-air-la-e15303-c2-eyeglasses,0,5943,5,3,975
201332,Medium,134 mm,LA E13068,1700,4,lenskart-air-la-e13068-c5-eyeglasses,0,12915,4.65,168,521
150599,Medium,135 mm,LA E14368,1700,2,lenskart-air-la-e14368-c1-eyeglasses,3337,30655,4.7,64,2795
146615,Medium,135 mm,VC E13784,1700,2,vincent-chase-vc-e13784-c1-eyeglasses,14578,65465,4.6,257,4142
146617,Medium,134 mm,VC E13785,1700,2,vincent-chase-vc-e13785-c1-eyeglasses,11799,57034,4.75,174,2467
211314,Medium,137 mm,VC E13451-M,1700,0,vincent-chase-vc-e13451-m-c1-eyeglasses,0,63,0,,2728
215914,Medium,135 mm,LA E16727,1700,2,lenskart-air-la-e16727-c2-eyeglasses,0,480,0,,755
136174,Medium,135 mm,JJ E10235,3500,4,john-jacobs-jj-e10235-c7-eyeglasses,16093,100506,4.45,265,3662
201621,Extra Narrow,128 mm,VC E14974,1700,2,vincent-chase-vc-e14974-c2-eyeglasses,0,27563,4.75,17,621
201618,Narrow,132 mm,VC E14973,1700,0,vincent-chase-vc-e14973-c2-eyeglasses,0,35469,4.75,14,4803
150581,Wide,140 mm,LA E14362,1700,2,lenskart-air-la-e14362-c1-eyeglasses,2027,69327,4.75,66,6413
137971,Medium,134 mm,LA E13068,1700,5,lenskart-air-la-e13032-c1-eyeglasses,20552,82630,4.65,168,1651
217142,Wide,142 mm,VC S16955,2000,0,vincent-chase-vc-s16955-c1-sunglasses,0,11,0,,2323
215907,Wide,140 mm,LA E16724,1700,2,lenskart-air-la-e16724-c1-eyeglasses,0,438,0,,1104
137935,Medium,136 mm,VC E13029,1700,2,vincent-chase-vc-e13029-c2-eyeglasses,2799,67634,4.8,130,3640
146618,Medium,134 mm,VC E13785,1700,2,vincent-chase-vc-e13785-c2-eyeglasses,5965,69328,4.75,174,8845
151702,Medium,137 mm,LA E14572,1700,2,lenskart-air-la-e14572-c3-eyeglasses,0,26931,4.75,36,415
150573,Medium,136 mm,LA E14360,1700,2,lenskart-air-la-e14360-c1-eyeglasses,4822,70187,4.85,102,7274
216454,Medium,136 mm,VC E16786,1700,0,vincent-chase-vc-e16786-c2-eyeglasses,0,926,5,1,562
215906,Medium,136 mm,LA E16723,1700,3,lenskart-air-la-e16723-c3-eyeglasses,0,381,0,,720
150861,Medium,134 mm,JJ E14410,3500,3,john-jacobs-jj-e14410-c4-eyeglasses,0,12049,4.65,22,876
201630,Narrow,133 mm,VC E14977,1700,2,vincent-chase-vc-e14977-c2-eyeglasses,0,40561,4.75,29,597
146620,Narrow,132 mm,VC E13786,1700,2,vincent-chase-vc-e13786-c2-eyeglasses,6800,105919,4.8,273,18208
150583,Wide,140 mm,LA E14362,1700,2,lenskart-air-la-e14362-c3-eyeglasses,970,53988,4.75,66,2386
217143,Wide,142 mm,VC S16956,2000,0,vincent-chase-vc-s16956-c1-sunglasses,0,775,0,,1741
215911,Narrow,133 mm,LA E16726,1700,2,lenskart-air-la-e16726-c1-eyeglasses,0,438,0,,586
211284,Wide,139 mm,JJ E16146,3500,4,john-jacobs-jj-e16146-c4-eyeglasses,0,5554,0,,2518
150413,Medium,136 mm,VC E14324,1700,3,vincent-chase-vc-e14324-c3-eyeglasses,384,29610,4.2,47,3038
146616,Medium,135 mm,VC E13784,1700,2,vincent-chase-vc-e13784-c2-eyeglasses,22848,73675,4.6,257,5137
204186,Medium,137 mm,LA E15019,1700,3,lenskart-air-la-e15019-c3-eyeglasses,0,39503,4.65,43,3929
146653,Medium,135 mm,LA E13776,1700,4,lenskart-air-la-e13776-c1-eyeglasses,5779,74729,4.65,107,1085
216395,Medium,136 mm,VC E16787,1700,4,vincent-chase-vc-e16787-c3-eyeglasses,0,73,0,,952
213363,Medium,134 mm,LA E16568,1700,3,lenskart-air-la-e16568-c3-eyeglasses,0,890,0,,1174
131410,Medium,135 mm,JJ E11675,5000,4,john-jacobs-jj-e11675-c1-eyeglasses,6072,66326,4.7,212,741
151049,Wide,142 mm,VC S14457,2000,2,vincent-chase-vc-s14457-c3-sunglasses,477,37859,4.9,10,2630
146619,Narrow,132 mm,VC E13786,1700,2,vincent-chase-vc-e13786-c1-eyeglasses,12294,78257,4.8,273,13282
152984,Extra Wide,142 mm,LA E14736,1700,0,lenskart-air-la-e14736-c1-eyeglasses,0,30932,4.65,15,1745
146850,Wide,140 mm,LA E12709,1700,3,lenskart-air-la-e12709-c2-eyeglasses,12349,79942,4.75,96,5249
217141,Wide,142 mm,VC S16954,2000,0,vincent-chase-vc-s16954-c1-sunglasses,0,14,0,,2218
215910,Narrow,132 mm,LA E16725,1700,2,lenskart-air-la-e16725-c2-eyeglasses,0,427,0,,860
134949,Extra Wide,143 mm,JJ S12473,5000,3,john-jacobs-jj-s12473-c1-sunglasses,2240,12251,4.75,16,19
149097,Medium,136 mm,VC E13033-M,1700,0,vincent-chase-vc-e13033-m-c2-c2-eyeglasses,1985,46343,4.7,52,1452
149268,Medium,137 mm,LA E10592,1700,0,lenskart-air-la-e10592-c9-c9-eyeglasses,12202,37600,4.65,353,3891
145998,Medium,135 mm,LA E11824,1700,2,lenskart-air-la-e11824-fall-rim-hexagonal-tr90-c1-eyeglasses,16002,53626,4.85,163,927
215387,Medium,136 mm,VC E16664,1700,3,vincent-chase-vc-e16664-c3-eyeglasses,0,1014,0,,1411
213357,Medium,134 mm,LA E16566,1700,2,lenskart-air-la-e16566-c2-eyeglasses,0,778,0,,1219
150862,Medium,138 mm,JJ E14411,3500,2,john-jacobs-jj-e14411-c1-eyeglasses,0,28813,4.65,12,4513
146623,Narrow,132 mm,VC E13788,1700,4,vincent-chase-vc-e13788-c1-eyeglasses,5489,64086,4.75,108,5088
146020,Extra Wide,144 mm,LA E13519,1700,2,lenskart-air-la-e13519-c3-eyeglasses,5332,59872,4.75,174,5757
148331,Wide,139 mm,LA E14017,1700,0,lenskart-air-la-e14017-c2-eyeglasses,1690,33877,4.7,73,6902
211315,Wide,141 mm,VC E13451-W,1700,0,vincent-chase-vc-e13451-w-c1-eyeglasses,0,46,0,,1404
215915,Wide,138 mm,LA E16728,1700,2,lenskart-air-la-e16728-c1-eyeglasses,0,445,0,,1254
121600,Extra Narrow,128 mm,JJ E10640,5000,0,john-jacobs-jj-e10640-c2-eyeglasses,2904,34852,4.2,64,3546
142834,Medium,134 mm,VC E11891,1700,2,vincent-chase-vc-e11891-c3-eyeglasses,2827,55973,4.5,240,4648
151050,Medium,139 mm,VC S14458,2000,0,vincent-chase-vc-s14458-c1-sunglasses,523,21689,4.5,8,1892
152987,Medium,136 mm,LA E14736M,1700,0,lenskart-air-la-e14736-m-c2-eyeglasses,0,24014,4.85,15,291
136712,Medium,134 mm,LA E12852,1700,4,vincent-chase-vc-e12852-c2-eyeglasses,5775,61676,4.65,226,5393
215379,Medium,136 mm,VC E16657,1700,2,vincent-chase-vc-e16657-c1-eyeglasses,0,570,0,,774
213375,Medium,134 mm,LA E16574,1700,2,lenskart-air-la-e16574-c1-eyeglasses,0,1149,0,,778
201389,Medium,137 mm,JJ E11540,5000,0,john-jacobs-jj-e11540-c7-eyeglasses,0,22334,4.4,187,5975
201631,Narrow,133 mm,VC E14977,1700,2,vincent-chase-vc-e14977-c3-eyeglasses,0,31972,4.75,29,836
142996,Narrow,132 mm,VC E13393,1700,2,vincent-chase-vc-e13393-c1-eyeglasses,1820,67845,4.65,76,3574
201272,Extra Wide,143 mm,LA E14958,1700,0,lenskart-air-la-e14958-c2-eyeglasses,0,28360,4.95,21,6182
150562,Wide,140 mm,LA E12489,1700,3,lenskart-air-la-e12489-c6-eyeglasses,2014,36429,4.6,104,4369
215382,Extra Narrow,129 mm,VC E16658,1700,2,vincent-chase-vc-e16658-c2-eyeglasses,0,1096,0,,524
211610,Extra Narrow,130 mm,LA E16208,3000,2,lenskart-air-la-e16208-c2-eyeglasses,0,600,0,,1561
211283,Wide,139 mm,JJ E16146,3500,4,john-jacobs-jj-e16146-c3-eyeglasses,0,4259,0,,1244
134826,Wide,138 mm,VC E12422,1700,2,vincent-chase-full-rim-aviator-vc-e12422-c3-eyeglasses,27771,89045,4.65,548,4343
204440,Narrow,130 mm,VC E15069,1700,0,vincent-chase-vc-e15069-c1-eyeglasses,0,19625,4.75,18,117
206049,Wide,139 mm,LA E15308,1700,3,lenskart-air-la-e15308-c3-eyeglasses,0,18792,4.8,11,3189
150584,Wide,141 mm,LA E14363,1700,0,lenskart-air-la-e14363-c1-eyeglasses,759,50020,4.7,41,1441
215769,Extra Narrow,129 mm,VC E16692,1700,2,vincent-chase-vc-e16692-c2-eyeglasses,0,1153,0,,899
213374,Extra Wide,142 mm,LA E16573,1700,3,lenskart-air-la-e16573-c3-eyeglasses,0,656,0,,1150
213690,Wide,140 mm,JJ E14008L,3500,4,john-jacobs-jj-e14008l-c7-eyeglasses,0,2532,0,,1542
146624,Narrow,132 mm,VC E13788,1700,4,vincent-chase-vc-e13788-c2-eyeglasses,7488,61897,4.75,108,8495
146613,Narrow,132 mm,VC E13783,1700,3,vincent-chase-vc-e13783-c1-eyeglasses,10128,52065,4.75,88,7884
146021,Extra Wide,144 mm,LA E13519,1700,2,lenskart-air-la-e13519-c4-eyeglasses,4903,51950,4.75,174,4733
149021,Wide,138 mm,LA E14101,1700,3,lenskart-air-la-e14101-c1-c1-eyeglasses,2283,34934,4.7,36,2468
215763,Medium,134 mm,VC E16690,1700,2,vincent-chase-vc-e16690-c1-eyeglasses,0,873,0,,1622
213359,Extra Narrow,129 mm,LA E16567,1700,3,lenskart-air-la-e16567-c2-eyeglasses,0,464,0,,1437
211282,Wide,139 mm,JJ E16146,3500,4,john-jacobs-jj-e16146-c2-eyeglasses,0,7760,5,1,817
210271,Extra Narrow,136 mm,VC E13447,1700,2,vincent-chase-vc-e13447-c6-eyeglasses,0,13973,0,,22233
145789,Extra Wide,142 mm,LA E13646,1700,0,lenskart-air-la-e13646-foll-rim-aviator-tr90-c1-eyegasus,4846,40510,4.45,63,255
200552,Extra Wide,142 mm,LA E14832,1700,2,lenskart-air-la-e14832-c2-eyeglasses,0,36010,4.55,64,2662
215761,Narrow,133 mm,VC E16689,1700,2,vincent-chase-vc-e16689-c1-eyeglasses,0,2779,0,,79
213351,Extra Narrow,129 mm,LA E16564,1700,2,lenskart-air-la-e16564-c1-eyeglasses,0,316,0,,1673
211190,Wide,138 mm,JJ E16115,3500,3,john-jacobs-jj-e16115-c2-eyeglasses,0,4577,0,,2914
201622,Extra Narrow,128 mm,VC E14974,1700,2,vincent-chase-vc-e14974-c3-eyeglasses,0,23496,4.75,17,162
134745,Wide,138 mm,VC E12395,1700,3,vincent-chase-vc-e12395-c1-eyeglasses,15718,81820,4.6,211,4696
206722,Wide,138 mm,LA E15389,1700,3,lenskart-air-la-e15389-c2-eyeglasses,0,11914,0,,645
136711,Medium,134 mm,LA E12852,1700,4,vincent-chase-vc-e12852-c1-eyeglasses,6106,58580,4.65,226,3800
216843,Medium,136 mm,VC E16906,1700,3,vincent-chase-vc-e16906-c3-eyeglasses,0,595,0,,950
213355,Narrow,133 mm,LA E16565,1700,3,lenskart-air-la-e16565-c3-eyeglasses,0,385,0,,865
127290,Wide,140 mm,JJ S11089,5000,3,john-jacobs-jj-s11089-c1-sunglasses,2555,39695,4.55,34,996
149313,Wide,140 mm,VC E11797-L,1700,0,vincent-chase-vc-e11797-l-c1-eyeglasses,1166,39385,4.55,32,1083
147491,Wide,135 mm,VC E13919,1700,0,vincent-chase-vc-e13920-c2-eyeglasses,4251,25571,4.55,52,4432
145983,Extra Wide,142 mm,LA E11412-N,3000,0,lenskart-air-la-e11412-n-fall-rim-rectgle-c-on-c5-eyeglasses,5293,54422,4.5,111,4222
151703,Medium,136 mm,LA E14573,1700,0,lenskart-air-la-e14573-c1-eyeglasses,0,24511,4.7,65,2637
216455,Medium,136 mm,VC E16792,1700,2,vincent-chase-vc-e16792-c1-eyeglasses,0,683,0,,878
213367,Medium,136 mm,LA E16570,1700,2,lenskart-air-la-e16570-c2-eyeglasses,0,1028,0,,917
133686,Narrow,132 mm,JJ E11318,5000,0,john-jacobs-jj-e11318-rectangle-c4-eyeglasses,5288,57478,4.5,108,5453
149080,Extra Narrow,129 mm,VC E14113,1700,2,vincent-chase-vc-e14113-c1-c1-eyeglasses,2969,36875,4.55,35,4635
148488,Narrow,130 mm,VC E14035,1700,2,vincent-chase-vc-e14035-c2-eyeglasses,6584,41593,4.7,55,6497
149022,Wide,138 mm,LA E14101,1700,3,lenskart-air-la-e14101-c2-c2-eyeglasses,1740,21752,4.7,36,3573
146273,Extra Wide,144 mm,LA E11289,1700,3,lenskart-air-lnewa-e11289-rectangle-tr90-c1-eyeglnewasses,13084,66096,4.6,252,2437
216398,Medium,136 mm,VC E16788,1700,3,vincent-chase-vc-e16788-c2-eyeglasses,0,1075,0,,786
213369,Wide,141 mm,LA E16571,1700,2,lenskart-air-la-e16571-c2-eyeglasses,0,958,0,,1101
201373,Wide,140 mm,JJ E11292,5000,0,john-jacobs-jj-e11292-c5-eyeglasses,0,9986,4.45,158,1564
148157,Narrow,133 mm,VC S13984,2000,3,vincent-chase-vc-s13984-c1-sunglasses,2609,30236,4.7,27,2169
201103,Wide,139 mm,VC E14938,1700,2,vincent-chase-vc-e14938-c1-eyeglasses,0,27558,4.6,31,2298
151704,Medium,136 mm,LA E14573,1700,2,lenskart-air-la-e14573-c2-eyeglasses,0,39642,4.7,65,1839
137980,Narrow,132 mm,LA E13071,1700,0,lenskart-air-la-e13035-c1-eyeglasses,12149,32256,4.65,201,3292
216383,Medium,136 mm,VC E16783,1700,3,vincent-chase-vc-e16783-c1-eyeglasses,0,958,0,,2189
213365,Narrow,133 mm,LA E16569,1700,2,lenskart-air-la-e16569-c2-eyeglasses,0,617,0,,1016
137920,Wide,140 mm,JJ S13025,5000,0,john-jacobs-jj-s13025-c1-sunglasses,1907,28717,4.55,16,1101
149190,Narrow,131 mm,VC E10502,1700,5,vincent-chase-vc-e10502-c8-c8-eyeglasses,1579,43813,4.45,137,11452
145512,Wide,140 mm,VC E13624,1700,2,vincent-chase-vc-e13624-ful-ram-sqr-metl-stlbr-c3-eyeglasaas,5074,60358,4.75,108,4051
147284,Extra Wide,143 mm,LA E11413,3000,0,lenskart-air-la-e11413-foll-rim-rectangle-clip-on-c4-eyeglas,2638,32665,4.65,109,658
145696,Wide,140 mm,LA E13643,1700,2,lenskart-air-la-e13643-c3-eyeglasses,827,33205,4.6,92,5374
216451,Medium,136 mm,VC E16785,1700,2,vincent-chase-vc-e16785-c1-eyeglasses,0,649,0,,1651
213371,Medium,136 mm,LA E16572,1700,2,lenskart-air-la-e16572-c2-eyeglasses,0,1363,0,,1195
211193,Wide,141 mm,JJ E16116,3500,2,john-jacobs-jj-e16116-c2-eyeglasses,0,7781,0,,331
149058,Extra Wide,142 mm,VC E14105,1700,0,vincent-chase-vc-e14105-c2-c2-eyeglasses,3042,36848,4.65,61,3125
145974,Extra Narrow,123 mm,LA 0353,1700,0,lenskart-air-la-0353-ramless-rectangle-tr90-c2-eyeglasses,4240,59847,4.75,79,1360
200553,Extra Wide,142 mm,LA E14832,1700,2,lenskart-air-la-e14832-c3-eyeglasses,0,23792,4.55,64,830
212867,Wide,138 mm,VC E16455,1700,0,vincent-chase-vc-e16455-c1-eyeglasses,0,635,0,,2067
211607,Medium,136 mm,LA E16207,3000,0,lenskart-air-la-e16207-c1-eyeglasses,0,1434,0,,1065
205981,Wide,141 mm,JJ E15293,5000,0,john-jacobs-jj-e15293-c1-eyeglasses,0,6641,4.5,2,372
148160,Narrow,133 mm,VC S13984,2000,3,vincent-chase-vc-s13984-c4-sunglasses,2532,28016,4.7,27,1906
209767,Medium,137 mm,LA E15849,3000,0,lenskart-air-la-e15849-c2-eyeglasses,0,5559,0,,1104
210621,Medium,135 mm,LA E15017,1700,2,lenskart-air-la-e15017-c4-eyeglasses,0,6509,0,,1154
212866,Wide,138 mm,VC E16454,1700,0,vincent-chase-vc-e16454-c2-eyeglasses,0,490,0,,1866
213119,Wide,138 mm,LA E16496,3000,3,lenskart-air-la-e16496-c3-eyeglasses,0,1029,0,,538
211191,Wide,138 mm,JJ E16115,3500,3,john-jacobs-jj-e16115-c3-eyeglasses,0,4125,0,,2339
201297,Narrow,132 mm,VC E11260-S,1700,3,vincent-chase-vc-e11260-s-c3-eyeglasses,0,10628,4.5,26,1837
145694,Wide,140 mm,LA E13643,1700,2,lenskart-air-la-e13643-c1-eyeglasses,1462,49716,4.6,92,14489
150600,Medium,135 mm,LA E14368,1700,2,lenskart-air-la-e14368-c2-eyeglasses,2081,33533,4.7,64,1593
215378,Narrow,133 mm,VC E16656,1700,2,vincent-chase-vc-e16656-c2-eyeglasses,0,802,0,,647
213115,Medium,137 mm,LA E16495,3000,3,lenskart-air-la-e16495-c2-eyeglasses,0,1324,0,,512
140632,Wide,139 mm,JJ S13313,5000,0,john-jacobs-jj-s13313-c1-sunglasses,2119,22151,4.8,19,4214
137934,Medium,136 mm,VC E13029,1700,2,vincent-chase-vc-e13029-c1-eyeglasses,2254,35410,4.8,130,4464
142997,Narrow,132 mm,VC E13393,1700,2,vincent-chase-vc-e13393-c2-eyeglasses,1958,54788,4.65,76,2293
145991,Wide,139 mm,LA E11415,3000,4,lenskart-air-la-e11415-fall-rim-rectgle-c-on-c3-eyeglasses,1402,39491,4.65,65,830
146822,Medium,136 mm,LA E11889,1700,0,lenskart-air-la-e11889-c3-eyeglasses,2981,39901,4.65,34,2070
215397,Narrow,132 mm,VC E16670,1700,0,vincent-chase-vc-e16670-c2-eyeglasses,0,1573,0,,370
212718,Narrow,131 mm,LA E16433,1700,2,lenskart-air-la-e16433-c2-eyeglasses,0,1458,0,,1354
131241,Narrow,130 mm,JJ E10007,3500,7,john-jacobs-jj-e10007-c9-rectangle-eyeglasses,479,13266,4.15,108,368
201615,Medium,136 mm,VC E14972,1700,0,vincent-chase-vc-e14972-c2-eyeglasses,0,13873,4.9,14,1640
150630,Narrow,131 mm,VC E13788,1700,4,vincent-chase-vc-e13788-c3-eyeglasses,579,27882,4.75,108,5170
207551,Wide,140 mm,LA E15494,1700,0,lenskart-air-la-e15494-c1-eyeglasses,0,25988,4.85,7,1192
215383,Medium,136 mm,VC E16659,1700,2,vincent-chase-vc-e16659-c1-eyeglasses,0,718,0,,1040
212719,Medium,135 mm,LA E16434,1700,2,lenskart-air-la-e16434-c1-eyeglasses,0,1611,0,,1235
136177,Medium,137 mm,JJ E11820,3500,2,john-jacobs-jj-e11820-c4-eyeglasses,4011,27812,4.3,154,1490
201612,Medium,137 mm,VC E14971,1700,0,vincent-chase-vc-e14971-c2-eyeglasses,0,10365,4.7,18,3676
137930,Extra Wide,142 mm,VC E13033,1700,2,vincent-chase-vc-e13033-c2-eyeglasses,9257,61754,4.65,157,4829
201281,Narrow,132 mm,LA E14961,1700,0,lenskart-air-la-e14961-c2-eyeglasses,0,24641,4.85,31,4047
151701,Medium,137 mm,LA E14572,1700,2,lenskart-air-la-e14572-c2-eyeglasses,0,16202,4.75,36,1417
215394,Medium,137 mm,VC E16668,1700,2,vincent-chase-vc-e16668-c2-eyeglasses,0,2093,0,,46
213106,Medium,135 mm,LA E16491,3000,0,lenskart-air-la-e16491-c1-eyeglasses,0,1053,0,,1050
150857,Medium,132 mm,JJ E14409,3500,3,john-jacobs-jj-e14409-c5-eyeglasses,0,26826,4.5,11,4406
210628,Extra Wide,144 mm,VC E16002,1700,2,vincent-chase-vc-e16002-c1-eyeglasses,0,5634,5,3,280
201097,Medium,137 mm,VC E14936,1700,2,vincent-chase-vc-e14936-c1-eyeglasses,0,22492,4.95,20,1360
201283,Wide,140 mm,LA E14962,1700,0,lenskart-air-la-e14962-c1-eyeglasses,0,20910,4.7,17,1866
150551,Wide,138 mm,LA E11821,1700,2,lenskart-air-la-e11821-c5-eyeglasses,490,25275,4.7,529,886
215311,Wide,139 mm,VC E16606,1700,2,vincent-chase-vc-e16606-c1-eyeglasses,0,204,0,,1619
213110,Medium,136 mm,LA E16493,3000,0,lenskart-air-la-e16493-c1-eyeglasses,0,807,0,,1116
201410,Wide,138 mm,JJ E13105,5000,3,john-jacobs-jj-e13105-c9-eyeglasses,0,2702,4.5,39,777
149602,Narrow,132 mm,VC E14209,1700,3,vincent-chase-vc-e14209-c1-eyeglasses,4380,37973,4.7,38,5581
130270,Narrow,130 mm,VC E10502,1700,4,vincent-chase-vc-e10502-c-2-eyeglasses,3089,47397,4.45,137,5809
147285,Narrow,133 mm,LA E11481,1700,5,lenskart-air-la-e11481-foll-rim-rectangle-ultem-c1-eyeglasse,16094,46589,4.6,76,1726
201287,Medium,136 mm,LA E14963,1700,2,lenskart-air-la-e14963-c2-eyeglasses,0,25593,4.5,39,1833
215374,Medium,136 mm,VC E16654,1700,2,vincent-chase-vc-e16654-c2-eyeglasses,0,639,0,,239
131411,Medium,135 mm,JJ E11675,5000,4,john-jacobs-jj-e11675-c2-eyeglasses,9507,51012,4.7,212,6823
201101,Wide,139 mm,VC E14937,1700,2,vincent-chase-vc-e14937-c2-eyeglasses,0,16466,4.6,8,1281
151528,Medium,136 mm,LA E14529,1700,2,lenskart-air-la-e14529-c2-eyeglasses,37,23083,4.85,27,4453
209756,Wide,139 mm,LA E15846,1700,2,lenskart-air-la-e15846-c2-eyeglasses,0,9178,0,,4412
215375,Medium,135 mm,VC E16655,1700,2,vincent-chase-vc-e16655-c1-eyeglasses,0,669,0,,826
212335,Medium,136 mm,LA E16351,1700,0,lenskart-air-la-e16351-c2-eyeglasses,0,882,0,,2254
201398,Medium,137 mm,JJ E11678,3500,0,john-jacobs-jj-e11678-c7-eyeglasses,0,17191,4.5,140,281
148478,Extra Narrow,129 mm,VC E14032,1700,3,vincent-chase-vc-e14032-c2-eyeglasses,6205,43530,4.65,89,6721
146622,Medium,136 mm,VC E13787,1700,3,vincent-chase-vc-e13787-c2-eyeglasses,9152,40584,4.7,96,1818
209775,Medium,137 mm,LA E15851,3000,2,lenskart-air-la-e15851-c2-eyeglasses,0,4249,0,,689
151529,Medium,136 mm,LA E14529,1700,2,lenskart-air-la-e14529-c3-eyeglasses,105,29780,4.85,27,2678
215951,Narrow,135 mm,VC S16734,2000,3,vincent-chase-vc-s16734-c2-sunglasses,0,59,0,,1221
217501,Wide,139 mm,LA E13740,1700,0,lenskart-air-la-e13740-c6-eyeglasses,0,131,0,,2866
150854,Medium,134 mm,JJ E14409,3500,3,john-jacobs-jj-e14409-c2-eyeglasses,0,17638,4.5,11,2294
205131,Medium,137 mm,VC E13499,1700,3,vincent-chase-vc-e13499-c6-eyeglasses,0,33199,4.65,100,6596
150636,Medium,134 mm,VC E13757,1700,4,vincent-chase-vc-e13757-c3-eyeglasses,253,28833,4.35,51,68
151536,Medium,137 mm,LA E14532,1700,3,lenskart-air-la-e14532-c2-eyeglasses,292,34613,4.85,33,6503
145980,Narrow,132 mm,LA E11411-N,3000,0,lenskart-air-la-e11411-n-fall-rim-rectgle-c-on-c2-eyeglasses,5355,46028,4.6,75,1938
215363,Medium,136 mm,VC E16649,1700,3,vincent-chase-vc-e16649-c3-eyeglasses,0,856,0,,1358
211293,Wide,140 mm,LA E13069-W,1700,0,lenskart-air-la-e13069/w-c1-eyeglasses,0,407,0,,2167
136403,Medium,135 mm,JJ S12808,3500,2,john-jacobs-jj-s12808-c1-sunglasses,1879,15598,4.55,24,314
148480,Extra Narrow,129 mm,VC E14032,1700,3,vincent-chase-vc-e14032-c4-eyeglasses,863,29101,4.65,89,2520
206272,Medium,137 mm,VC E15349,1700,0,vincent-chase-vc-e15349-c3-eyeglasses,0,5249,4.65,3,1680
